image_id,file_path,source_type,source_url,license,permission_status,contains_filter,split,notes
fd_manual_page_001,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_001_TS-Q14YNZE__AC_IDA_p33.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf; page=33; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_002,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_002_TS-Q14YNZE__AC_IDA_p34.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf; page=34; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_003,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_003_TS-Q14YNZE__AC_IDA_p35.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf; page=35; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_004,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_004_TS-Q14YNZE__AC_IDA_p36.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf; page=36; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_005,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_005_TS-Q14YNZE__AC_IDA_p37.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf; page=37; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_006,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_006_TS-Q14YNZE__AC_IDA_p39.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q14YNZE__AC_IDA_MFL72020502_01_230412_00_OM_WEB_AC.pdf; page=39; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_007,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_007_TS-Q18TNXE1__AC_ID_p35.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf; page=35; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_008,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_008_TS-Q18TNXE1__AC_ID_p36.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf; page=36; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_009,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_009_TS-Q18TNXE1__AC_ID_p37.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf; page=37; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_010,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_010_TS-Q18TNXE1__AC_ID_p38.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf; page=38; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_011,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_011_TS-Q18TNXE1__AC_ID_p39.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=TS-Q18TNXE1__AC_IDA_MFL72020509_02_250104_00_OM_WEB.pdf; page=39; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_012,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_012_US-Q12CNXE__AC_IDA_p35.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf; page=35; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_013,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_013_US-Q12CNXE__AC_IDA_p36.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf; page=36; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_014,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_014_US-Q12CNXE__AC_IDA_p37.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf; page=37; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_015,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_015_US-Q12CNXE__AC_IDA_p38.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf; page=38; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_016,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_016_US-Q12CNXE__AC_IDA_p39.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=US-Q12CNXE__AC_IDA_MFL72020509_02_240424_00_OM_WEB.pdf; page=39; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_017,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_017_US-Q13JNYE__AC_IDA_p35.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\US-Q13JNYE__AC_IDA_MFL72020509_00_231017_00_OM_WEB_DIET.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=US-Q13JNYE__AC_IDA_MFL72020509_00_231017_00_OM_WEB_DIET.pdf; page=35; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_018,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_018_US-Q13JNYE__AC_IDA_p36.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\US-Q13JNYE__AC_IDA_MFL72020509_00_231017_00_OM_WEB_DIET.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=US-Q13JNYE__AC_IDA_MFL72020509_00_231017_00_OM_WEB_DIET.pdf; page=36; rendered_page; text_hit=filter/clean/maintenance
fd_manual_page_019,10_원천이미지_raw/02_공식매뉴얼페이지후보/lg_manual_page_019_US-Q13JNYE__AC_IDA_p37.png,lg_official_manual_pdf_rendered_page,C:\Users\TAEHEE\Documents\2026 LGDX\프로젝트\lgdx_DX\07_개발단계\06_AR 가전케어 AI\02_데이터연동\source_data\official_lg_india\rag_corpus_extension\manual_pdfs\US-Q13JNYE__AC_IDA_MFL72020509_00_231017_00_OM_WEB_DIET.pdf,LG official manual; internal project use only,internal_reference_review_required,review,review,pdf=US-Q13JNYE__AC_IDA_MFL72020509_00_231017_00_OM_WEB_DIET.pdf; page=37; rendered_page; text_hit=filter/clean/maintenance
